Package,Name,Status,Version
Media,"Entity Browser example (entity_browser_example)",Disabled,8.x-2.2
Filters,"Entity Embed (entity_embed)",Disabled,8.x-1.0
"Field types","Entity Reference Revisions (entity_reference_revisions)",Enabled,8.x-1.6
Entityqueue,"Entityqueue (entityqueue)",Enabled,8.x-1.0-beta5
Development,"Environment indicator (environment_indicator)",Enabled,8.x-3.6
Development,"Environment indicator UI (environment_indicator_ui)",Disabled,8.x-3.6
"Field Formatters","Field Formatter Class (field_formatter_class)",Enabled,8.x-1.1
Migration,"Field Group Migrate (field_group_migrate)",Enabled,8.x-3.0-rc1
Fields,"Field Group (field_group)",Enabled,8.x-3.0-rc1
Other,"File Browser (file_browser)",Disabled,8.x-1.1
Other,"File Browser Example (file_browser_example)",Disabled,8.x-1.1
Flags,"Flag (flag)",Enabled,8.x-4.0-alpha3
Flags,"Flag Bookmark (flag_bookmark)",Disabled,8.x-4.0-alpha3
Flags,"Flag Follower (flag_follower)",Disabled,8.x-4.0-alpha3
Statistics,"Google Analytics (google_analytics)",Disabled,8.x-2.4
Layout,"Layout Plugin (layout_plugin)",Enabled,8.x-1.0-alpha23
Examples,"Example Layouts (layout_plugin_example)",Disabled,8.x-1.0-alpha23
Other,"Masquerade (masquerade)",Enabled,8.x-2.0-beta2
Statistics,"Matomo Analytics (matomo)",Enabled,8.x-1.9
SEO,"Metatag (metatag)",Enabled,8.x-1.9
SEO,"Metatag: App Links (metatag_app_links)",Disabled,8.x-1.9
SEO,"Metatag: Dublin Core (metatag_dc)",Disabled,8.x-1.9
SEO,"Metatag: Dublin Core Advanced (metatag_dc_advanced)",Disabled,8.x-1.9
SEO,"Metatag: Facebook (metatag_facebook)",Disabled,8.x-1.9
SEO,"Metatag: favicons (metatag_favicons)",Disabled,8.x-1.9
SEO,"Metatag: Google Custom Search Engine (CSE) (metatag_google_cse)",Disabled,8.x-1.9
SEO,"Metatag: Google Plus (metatag_google_plus)",Disabled,8.x-1.9
SEO,"Metatag: hreflang (metatag_hreflang)",Disabled,8.x-1.9
SEO,"Metatag: Mobile & UI Adjustments (metatag_mobile)",Disabled,8.x-1.9
SEO,"Metatag: Open Graph (metatag_open_graph)",Disabled,8.x-1.9
SEO,"Metatag: Open Graph Products (metatag_open_graph_products)",Disabled,8.x-1.9
SEO,"Metatag Page Manager (metatag_page_manager)",Disabled,8.x-1.9
SEO,"Metatag: Pinterest (metatag_pinterest)",Disabled,8.x-1.9
SEO,"Metatag: Twitter Cards (metatag_twitter_cards)",Disabled,8.x-1.9
SEO,"Metatag: Verification (metatag_verification)",Disabled,8.x-1.9
SEO,"Metatag: Views (metatag_views)",Disabled,8.x-1.9
Paragraphs,"Paragraphs Demo (paragraphs_demo)",Disabled,8.x-1.8
Paragraphs,"Paragraphs Library (paragraphs_library)",Disabled,8.x-1.8
Paragraphs,"Paragraphs Type Permissions (paragraphs_type_permissions)",Disabled,8.x-1.8
Paragraphs,"Paragraphs (paragraphs)",Enabled,8.x-1.8
Other,"Pathauto (pathauto)",Enabled,8.x-1.4
Other,"Poll (poll)",Enabled,8.x-1.2
Other,"Rabbit Hole files (rh_file)",Disabled,8.x-1.0-beta6
Other,"Rabbit Hole group (rh_group)",Disabled,8.x-1.0-beta6
Other,"Rabbit Hole media entity (rh_media)",Disabled,8.x-1.0-beta6
Other,"Rabbit Hole nodes (rh_node)",Disabled,8.x-1.0-beta6
Other,"Rabbit Hole taxonomy (rh_taxonomy)",Disabled,8.x-1.0-beta6
Other,"Rabbit Hole users (rh_user)",Disabled,8.x-1.0-beta6
Other,"Rabbit Hole (rabbit_hole)",Enabled,8.x-1.0-beta6
